ಅಂಕುಶ ನಿರಂಕುಶ
ಅಂತ ಅನಂತ
ಅಂತ್ಯ ಆರಂಭ
ಅಕ್ಷಯ ಕ್ಷಯ
ಅಗಲ ಕಿರಿದು
ಅಡಚಣೆ ಮುಂದುವಲಿಸಿ
ಅಡ್ಡ ಲಂಬ
ಅತಿಥಿ ಹೋಸ್ಟ್
ಅತಿವೃಷ್ಠಿ ಅನಾವೃಷ್ಟಿ
ಅತ್ಯಾಕರ್ಷಕ ನೀರಸ
ಅದೃಷ್ಟ ದುರದೃಷ್ಟ
ಅದೃಷ್ಟ ನತದೃಷ್ಟ
ಅಧಿಕೃತ ಅನಧಿಕೃತ
ಅಧ್ಯಯನ ಅನಧ್ಯಯನ
ಅನಾಥ ನಾಥ
ಅನಾರೋಗ್ಯ ಆರೋಗ್ಯಕರ
ಅನುಭವ ಅನನುಭವ
ಅಪೇಕ್ಷೆ ಅನಪೇಕ್ಷೆ
ಅಬಲೆ ಸಬಲೆ
ಅಭಿಮಾನ ನಿರಭಿಮಾನ
ಅಭ್ಯಾಸ ದುರಭ್ಯಾಸ
ಅಮೂಲ್ಯ ಅನಮೂಲ್ಯ
ಅಮೃತ ವಿಷ
ಅರಸ ಆಳು
ಅರಿವು ಮರೆವು
ಅರೋಗ್ಯ ಅನಾರೋಗ್ಯ
ಅರ್ಥ ಅನರ್ಥ
ಅವಮಾನ ಅಭಿನಂದನೆ
ಅವಶ್ಯಕ ಅನಾವಶ್ಯಕ
ಅಸೂಯೆ ಅನಸೂಯೆ
ಅಹಂಕಾಲ ನಿರಹಂಕಾಲ
ಅಳಿವು ಉಳಿವು
ಆಗಾಗ್ಗೆ ಸಾಂದರ್ಭಿಕವಾಗಿ
ಆಚಾರ ಅನಾಚರ
ಆಡಂಬರ ನಿರಾಡಂಬರ
ಆತಂಕ ನಿರಾತಂಕ
ಆತಿಥೇಯ ಅತಿಥಿ
ಆದರ ಅನಾದರ
ಆದಾಯ ವೆಚ್ಚ
ಆಧುನಿಕ ಪ್ರಾಚೀನ
ಆನಂಬಿಸಿ ದ್ವೇಷಿಸಿ
ಆಮದು ರಫ್ತು
ಆಯಾಸ ಅನಾಯಾಸ
ಆಯಾಸ ನಿರಾಯಾಸ
ಆಯುಧ ನಿರಾಯುಧ
ಆರಂಭ ಅಂತ್ಯ
ಆರಂಭ ಮುಕ್ತಾಯ
ಆರೋಗ್ಯ ಅನಾರೋಗ್ಯ
ಆರೋಗ್ಯಕರ ಅನಾರೋಗ್ಯ
ಆರ್ಯ ಅನಾರ್ಯ
ಆವಾಹನೆ ವಿಸರ್ಜನೆ
ಆಸಕ್ತಿ ನಿರಾಸಕ್ತಿ
ಆಸಕ್ತಿದಾಯಕ ನೀರಸ
ಆಹಾರ ನಿರಾಹಾರ
ಆಳವಾದ ಆಳವಿಲ್ಲದ
ಇಂಚರ ಕರ್ಕಶ
ಇಂದು ನಾಳೆ
ಇಲ್ಲಿ ಅಲ್ಲಿ
ಇಹಲೋಕ ಪರಲೋಕ
ಇಳಿಯುವಿಕೆ ಆರೋಹಣ
ಉಗ್ರ ಶಾಂತ
ಉಚಿತ ಬಂಧನ
ಉಚಿತ ಅನುಚಿತ
ಉಚ್ಚ ನೀಚ
ಉತ್ತಮ ಅಧಮ
ಉತ್ತಮ ಕಳಪೆ
