word,word1,word2
ನಾವೆಲ್ಲಾ,ನಾವು,ಎಲ್ಲಾ
ಬೇರೊಂದು,ಬೇರೆ,ಒಂದು
ಮಾತಿಲ್ಲ ,ಮಾತು,ಇಲ್ಲ
ಮಾಡಿಸು,ಮಾಡು,ಇಸು
ನೀರಿಲ್ಲ,ನೀರು,ಇಲ್ಲ
ಅವನೂರು,ಅವನ,ಊರು
ಬೇರೊಬ್ಬ,ಬೇರೆ,ಒಬ್ಬ
ಮತ್ತೊಬ್ಬ,ಮತ್ತು,ಒಬ್ಬ
ಅಲ್ಲಲ್ಲಿ,ಅಲ್ಲಿ,ಅಲ್ಲಿ
ಏನಾದುದು,ಏನು,ಆದುದು
ಊರಲ್ಲಿ,ಊರು,ಅಲ್ಲಿ
ದೇವರಿಂದ,ದೇವರು,ಇಂದ
ಮಾಡಿಸು, ಮಾಡು,ಇಸು
ಮಹೇಶ,ಮಹ,ಈಶ 
ಹೋಗೆಂದ,ಹೋಗು,ಎಂದ 
ಒಂದೆರಡು,ಒಂದು,ಎರಡು
ಬೇರೊಬ್ಬ,ಬೇರೆ,ಒಬ್ಬ
ನಿನಗಲ್ಲದೆ,ನಿನಗೆ,ಅಲ್ಲದೆ
ನಾವೆಲ್ಲಾ,ನಾವು,ಎಲ್ಲಾ 
ಊರಲ್ಲಿ,ಊರು,ಅಲ್ಲಿ
ದೇವರಿಂದ,ದೇವರು,ಇಂದ
ಬಲ್ಲೆನೆಂದು,ಬಲ್ಲೆನು,ಎಂದು 
ಏನಾದುದು,ಏನು,ಆದುದು 
ಇವನಿಗಾನು,ಇವನಿಗೆ,ಆನು 
ಅವನೂರು,ಅವನ,ಊರು 
ಹಣದಾಸೆ,ಹಣದ,ಆಸೆ
ಅಲ್ಲೊಂದು,ಅಲ್ಲಿ,ಒಂದು
ಮತ್ತೊಬ್ಬ,ಮತ್ತು,ಒಬ್ಬ
ಆಡಿಸು,ಆಡು,ಇಸು
ಗಾಣಿಗ,ಗಾಣ,ಇಗ
