word,word1,word2,ans,w1,w2
ಹಳಗನ್ನಡ,ಹಳ+ಕನ್ನಡ ,ಆದೇಶ ಸಂಧಿ,3,ಹಳ,ಕನ್ನಡ
ಬಾಯ್ದೆರೆ,ಬಾಯ್+ತೆರೆ,ಆದೇಶ ಸಂಧಿ,3,ಬಾಯ್,ತೆರೆ
ಮೈದೊಳೆ,ಮೈ+ತೊಳೆ,ಆದೇಶ ಸಂಧಿ,3,ಮೈ,ತೊಳೆ
ಎಳೆಗರು,ಎಳೆ+ಕರು,ಆದೇಶ ಸಂಧಿ,3,ಎಳೆ,ಕರು
ತಲೆಗಟ್ಟು,ತಲೆ+ಕಟ್ಟು,ಆದೇಶ ಸಂಧಿ,3,ತಲೆ,ಕಟ್ಟು
ಮಳೆಗಾಲ,ಮಳೆ+ಕಾಲ,ಆದೇಶ ಸಂಧಿ,3,ಮಳೆ,ಕಾಲ
ಚಳಿಗಾಲ,ಚಳಿ+ಕಾಲ,ಆದೇಶ ಸಂಧಿ,3,ಚಳಿ,ಕಾಲ
ಬೆಟ್ಟದಾವರೆ,ಬೆಟ್ಟ+ತಾವರೆ,ಆದೇಶ ಸಂಧಿ,3,ಬೆಟ್ಟ,ತಾವರೆ
ಕಂಗೆಟ್ಟು,ಕಣ್+ಕೆಟ್ಟು,ಆದೇಶ ಸಂಧಿ,3,ಕಣ್,ಕೆಟ್ಟು
ಕಂಬನಿ,ಕಣ್ +ಪನಿ,ಆದೇಶ ಸಂಧಿ,3,ಕಣ್,ಪನಿ
ಮನೆಗೆಲಸ,ಮನೆ+ಕೆಲಸ,ಆದೇಶ ಸಂಧಿ,3,ಮನೆ,ಕೆಲಸ
ಕಳೆಗೂಡಿ ,ಕಳೆ+ಕೂಡಿ,ಆದೇಶ ಸಂಧಿ,3,ಕಳೆ,ಕೂಡಿ
ಇಂಚರ,ಇನ್+ಸರ,ಆದೇಶ ಸಂಧಿ,3,ಇನ್,ಸರ
ಕೆರೆಯಲ್ಲಿ,ಕೆರೆ+ಅಲ್ಲಿ,ಆಗಮ ಸಂಧಿ,2,ಕೆರೆ,ಅಲ್ಲಿ
ಗಾಳಿಯನ್ನು,ಗಾಳಿ+ಅನ್ನು,ಆಗಮ ಸಂಧಿ,2,ಗಾಳಿ,ಅನ್ನು
ಮಳೆಯಿಂದ,ಮಳೆ+ಇಂದ,ಆಗಮ ಸಂಧಿ,2,ಮಳೆ,ಇಂದ
ಮೇಯಿಸು,ಮೇ+ಇಸು,ಆಗಮ ಸಂಧಿ,2,ಮೇ,ಇಸು
ಮಗುವಿಗೆ,ಮಗು+ಇಗೆ,ಆಗಮ ಸಂಧಿ,2,ಮಗು,ಇಗೆ
ಗುರುವನ್ನು,ಗುರು+ಅನ್ನು,ಆಗಮ ಸಂಧಿ,2,ಗುರು,ಅನ್ನು
ಹೂವಿದು,ಹೂ+ಇದು,ಆಗಮ ಸಂಧಿ,2,ಹೂ,ಇದು
ಸ್ತ್ರೀಯೆಂಬ, ಸ್ತ್ರೀ+ಎಂಬ,ಆಗಮ ಸಂಧಿ,2, ಸ್ತ್ರೀ,ಎಂಬ
ಕರ್ತೃವಾದ,ಕರ್ತೃ+ಆದ,ಆಗಮ ಸಂಧಿ,2,ಕರ್ತೃ,ಆದ
ಗೋವಿನ,ಗೋ+ಇನ,ಆಗಮ ಸಂಧಿ,2,ಗೋ,ಇನ
ನಾವೆಲ್ಲಾ,ನಾವು+ಎಲ್ಲಾ,ಲೋಪಸಂಧಿ,1,ನಾವು,ಎಲ್ಲಾ
ಬೇರೊಂದು,ಬೇರೆ+ಒಂದು,ಲೋಪಸಂಧಿ,1,ಬೇರೆ,ಒಂದು
ಮಾತಿಲ್ಲ ,ಮಾತು+ಇಲ್ಲ,ಲೋಪಸಂಧಿ,1,ಮಾತು,ಇಲ್ಲ
ಮಾಡಿಸು,ಮಾಡು+ಇಸು,ಲೋಪಸಂಧಿ,1,ಮಾಡು,ಇಸು
ನೀರಿಲ್ಲ,ನೀರು+ಇಲ್ಲ,ಲೋಪಸಂಧಿ,1,ನೀರು,ಇಲ್ಲ
ಅವನೂರು,ಅವನ+ಊರು,ಲೋಪಸಂಧಿ,1,ಅವನ,ಊರು
ಬೇರೊಬ್ಬ,ಬೇರೆ+ಒಬ್ಬ,ಲೋಪಸಂಧಿ,1,ಬೇರೆ,ಒಬ್ಬ
ಮತ್ತೊಬ್ಬ,ಮತ್ತು+ಒಬ್ಬ,ಲೋಪಸಂಧಿ,1,ಮತ್ತು,ಒಬ್ಬ
ಅಲ್ಲಲ್ಲಿ,ಅಲ್ಲಿ+ಅಲ್ಲಿ,ಲೋಪಸಂಧಿ,1,ಅಲ್ಲಿ,ಅಲ್ಲಿ
ಏನಾದುದು,ಏನು+ಆದುದು,ಲೋಪಸಂಧಿ,1,ಏನು,ಆದುದು
ಊರಲ್ಲಿ,ಊರು+ಅಲ್ಲಿ,ಲೋಪಸಂಧಿ,1,ಊರು,ಅಲ್ಲಿ
ದೇವರಿಂದ,ದೇವರು+ಇಂದ,ಲೋಪಸಂಧಿ,1,ದೇವರು,ಇಂದ
