word1,word2
ನಾವು,ಎಲ್ಲಾ
ಬೇರೆ,ಒಂದು 
ಮಾತು,ಇಲ್ಲ
ಮಾಡು,ಇಸು
ಆಡು ,ಇಸು 
ನಿನಗೆ ,ಅಲ್ಲದೆ 
ಅಲ್ಲಿ ,ಒಂದು 
ಊರು ,ಅಲ್ಲಿ 
ಮಳೆ ,ಕಾಲ
ಕೈ ,ತಪ್ಪು
ಹೊಸ ,ಕನ್ನಡ 
ನಾವು  ,ಎಲ್ಲ
ಬಲ್ಲೆನು ,ಎಂದು 
ಹಾಲು ,ಉಂಡ 
ನೆನೆವುದು ,ಎನ್ನ 
ಊರು ,ಒಳಗೆ 
ಮೈ ,ತೋರು 
ಹೊಸ  ,ಕಾಲ
ಮನದ ,ಒಳಗೆ 
ಆದೆನು ,ಎಂಬ 
ಚಳಿ,ಕಾಲ
ಬೆಟ್ಟ ,ತಾವರೆ
ಕಣ್,ಕೆಟ್ಟು
ಕಣ್,ಪನಿ
ಹುಲ್ಲು,ಕಾವಲು
ಹಳೆ,ಕನ್ನಡ
ಕಳೆ,ಕೂಡಿ
ಎಳೆ,ಕರು
ಮನೆ,ಕೆಲಸ
ಮೈ,ತೊಳೆ
ಸ್ತ್ರೀ,ಎಂಬ
ಜೋ,ಎಂದು
ಥೈ,ಎಂದು
ನಡೆ,ಎಂದು
ಉಘೇ,ಎಂದು
ಒತ್ತೆ  ,ಇಟ್ಟ 
ಮೇ ,ಇಸು 
ಕರೆ,ಅನ್ನು
ಕೆರೆ ,ಅಲ್ಲಿ
ಗಾಳಿ,ಅನ್ನು
ಮಳೆ ,ಇಂದ
ಕೆರೆ ,ಅನ್ನು
ಕೆರೆ ,ಇಂದ
ಸ್ತ್ರೀ,ಇಂದ
ಮನೆ,ಇಂದ
ಮನೆ,ಅಲ್ಲಿ
ಮನೆ,ಒಳಗೆ
ಸ್ತ್ರೀ,ಅನ್ನು
ಕೈ,ಇಂದ
ನಡೆ,ಇಂದ
ನಡೆ,ಅನ್ನು
ಮಗು ,ಇಗೆ 
ಮಗು,ಅನ್ನು
ಹೂ ,ಇದು 
ಗುರು,ಅನ್ನು
ಮಾತೃ,ಅನ್ನು 
ಮಗು,ಇಂದ
ಹೂ ,ಇಂದ
ಗುರು,ಇಂದ
ಗುರು,ಇಗೆ 
